Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Match Report
Sat,Premier League,Matchweek 35,Home,D 1–1,Liverpool,Burnley,Y,RW,90,0,0,0,0,6,4,0,0,36,0,0,0,0.8,0.8,0.3,7,0,21,28,75.0,4,31,2,1,1,Match Report
Wed,Premier League,Matchweek 36,Away,L 1–2,Liverpool,Arsenal,Y,RW,82,0,0,0,0,4,2,0,0,24,1,0,0,0.7,0.7,0.0,3,0,10,14,71.4,1,15,0,2,1,Match Report
Wed,Premier League,Matchweek 37,Home,W 5–3,Liverpool,Chelsea,Y,RW,78,0,1,0,0,3,1,0,0,45,2,1,0,0.5,0.5,0.1,2,1,26,34,76.5,2,27,3,3,2,Match Report
Sun,Premier League,Matchweek 38,Away,W 3–1,Liverpool,Newcastle Utd,N,RW,27,0,0,0,0,3,0,0,0,23,0,0,0,0.2,0.2,0.1,2,0,16,20,80.0,1,19,2,0,0,Match Report
Sat,Premier League,Matchweek 1,Home,W 4–3,Liverpool,Leeds United,Y,RW,90,3,0,2,2,7,1,0,0,75,2,0,1,1.9,0.4,0.2,9,1,37,47,78.7,8,54,8,14,7,Match Report
Sun,Premier League,Matchweek 2,Away,W 2–0,Liverpool,Chelsea,Y,RW,90,0,0,0,0,4,1,0,0,75,0,0,2,0.2,0.2,0.2,8,1,54,65,83.1,6,57,1,4,2,Match Report
Mon,Premier League,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,RW,90,0,0,0,0,4,1,0,0,49,1,0,0,0.2,0.2,0.4,7,3,28,39,71.8,3,33,4,2,1,Match Report
Sun,Premier League,Matchweek 4,Away,L 2–7,Liverpool,Aston Villa,Y,RW,90,2,0,0,0,2,2,0,0,50,1,0,0,0.5,0.5,0.7,8,0,36,40,90.0,7,40,5,5,2,Match Report
Sat,Premier League,Matchweek 5,Away,D 2–2,Liverpool,Everton,Y,RW,90,1,0,0,0,6,4,0,0,51,1,0,0,0.4,0.4,0.4,6,1,26,29,89.7,5,37,3,4,1,Match Report
Sat,Premier League,Matchweek 6,Home,W 2–1,Liverpool,Sheffield Utd,Y,"FW,RW",90,0,0,0,0,4,1,0,0,51,1,0,0,0.8,0.8,0.1,6,0,33,39,84.6,1,39,6,5,2,Match Report
Sat,Premier League,Matchweek 7,Home,W 2–1,Liverpool,West Ham,Y,"RW,FW",89,1,0,1,1,2,1,0,0,44,0,0,1,1.0,0.2,0.0,3,1,26,34,76.5,2,31,0,1,0,Match Report
Sun,Premier League,Matchweek 8,Away,D 1–1,Liverpool,Manchester City,Y,FW,90,1,0,1,1,1,0,0,0,27,0,0,0,0.8,0.0,0.2,5,0,17,21,81.0,3,24,3,1,0,Match Report
